team,league,manager,n,start,possession,field_tilt,passes_per_poss,pass_length,long_ball_share,directness,gk_short_share,cross_share,ppda,press_intensity,press_high_share,def_height,high_recoveries,counter_shots
AS Roma,Serie A,Luciano Spalletti,19,2016-01-17,1.486,2.001,1.590,-1.585,-1.459,-1.350,2.692,-0.737,-0.146,0.832,2.058,2.225,1.215,0.977
Fiorentina,Serie A,Paulo Sousa,38,2015-08-23,1.730,1.285,1.642,-0.958,-1.477,-1.886,1.501,-1.117,-1.159,1.624,1.366,1.081,-0.225,0.491
AC Milan,Serie A,Siniša Mihajlović,32,2015-08-23,0.317,0.556,-0.399,-0.438,-0.604,-0.042,0.861,-0.529,-0.697,1.136,0.677,1.316,1.258,1.282
AC Milan,Serie A,Cristian Brocchi,6,2016-04-17,1.137,0.782,0.848,-0.461,-0.901,-1.135,2.176,0.568,-1.081,0.270,1.375,1.789,0.764,-1.218
Inter Milan,Serie A,Roberto Mancini,38,2015-08-23,0.817,0.886,0.503,-0.744,-0.867,-1.061,1.655,0.347,0.039,1.741,0.313,0.203,0.410,-0.735
Chievo,Serie A,Rolando Maran,38,2015-08-23,-0.647,-1.026,-0.378,0.085,0.272,0.512,-0.859,-0.337,0.484,0.304,-0.432,0.255,-0.962,-0.484
Empoli,Serie A,Marco Giampaolo,38,2015-08-23,0.475,-0.394,0.095,-2.355,-1.573,-0.116,1.220,-2.104,-0.162,-0.009,1.166,0.968,-0.340,0.133
Udinese,Serie A,Stefano Colantuono,29,2015-08-23,-0.658,-0.678,-0.669,-0.033,0.397,1.013,-0.645,0.803,1.429,-0.105,-0.594,-0.628,-0.844,1.663
Udinese,Serie A,Luigi De Canio,9,2016-03-20,-1.470,-0.979,-1.061,1.442,1.561,1.647,-0.325,1.934,1.247,-0.515,-0.878,-0.206,0.487,0.703
Torino,Serie A,Gian Piero Ventura	,38,2015-08-23,-0.326,-0.919,-0.055,1.793,0.857,-1.075,1.352,2.092,1.018,-0.015,-2.378,-0.938,-1.798,1.748
Frosinone,Serie A,Roberto Stellone,38,2015-08-23,-1.525,-1.868,-1.718,1.405,1.497,2.033,-0.915,0.473,-0.572,0.686,-0.714,0.134,0.131,1.344
Napoli,Serie A,Maurizio Sarri,38,2015-08-23,2.068,2.285,2.058,-2.796,-2.220,-1.509,2.379,-0.937,-0.524,0.815,3.102,1.981,0.537,0.819
Sassuolo,Serie A,Eusebio Di Francesco,38,2015-08-23,0.244,0.319,-0.454,0.052,0.032,0.550,1.145,0.301,-0.615,1.133,1.221,0.267,0.194,-1.139
Carpi,Serie A,Fabrizio Castori,6,2015-08-23,-1.952,-1.866,-1.367,1.478,1.747,1.666,-0.514,0.226,2.607,0.004,-2.417,-2.220,-1.060,-0.517
